EPAFacilityID,SubmissionID,AccidentHistoryID,AccidentDate,AccidentTime,AccidentChemicals,AccidentReleaseDuration,NAICSCode,RE_Gas,RE_Spill,RE_Fire,RE_Explosion,RE_ReactiveIncident,RS_StorageVessel,RS_Piping,RS_ProcessVessel,RS_TransferHose,RS_Valve,RS_Pump,RS_Joint,OtherReleaseSource,WindSpeed,WindSpeedUnitCode,WindDirection,Temperature,StabilityClass,Precipitation,WeatherUnknown,DeathsWorkers,DeathsPublicResponders,DeathsPublic,InjuriesWorkers,InjuriesPublicResponders,InjuriesPublic,OnsitePropertyDamage,OffsiteDeaths,Hospitalization,MedicalTreatment,Evacuated,ShelteredInPlace,OffsitePropertyDamage,ED_Kills,ED_MinorDefoliation,ED_WaterContamination,ED_SoilContamination,ED_Other,InitiatingEvent,CF_EquipmentFailure,CF_HumanError,CF_ImproperProcedure,CF_Overpressurization,CF_UpsetCondition,CF_BypassCondition,CF_Maintenance,CF_ProcessDesignFailure,CF_UnsuitableEquipment,CF_UnusualWeather,CF_ManagementError,CF_Other,OffsiteRespondersNotify,CI_ImprovedEquipment,CI_RevisedMaintenance,CI_RevisedTraining,CI_RevisedOpProcedures,CI_NewProcessControls,CI_NewMitigationSystems,CI_RevisedERPlan,CI_ChangedProcess,CI_ReducedInventory,CI_None,CI_OtherType,CBI_Flag
100000153139,1000115414,1000083489,2024-05-14,0940,"Ammonia (anhydrous) {2100}",00002,42491,No,Yes,No,No,No,No,No,No,No,No,No,No,"Sight gauge",5.0,a,N,60.0,D,No,No,0,0,0,0,0,0,2500.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,Yes,No,No,No,No,No,No,No,,"Notified Only",No,No,No,No,No,No,No,No,No,No,"Investigation continuing. Pending engineering recommendations.",No
100000053283,1000115395,1000083687,2024-04-30,1410,"Chlorine {7}",00210,22132,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",No,No,Yes,No,No,No,No,No,No,No,,No
100000142384,1000115385,1000083686,2023-12-16,0555,"Ammonia (conc 20% or greater) {23}",00215,42491,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,0.0,a,N,33.0,B,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,5.0,0.0,No,No,No,No,,b,No,Yes,No,No,No,No,No,No,No,No,No,,"Notified and Responded",No,No,No,No,Yes,No,No,No,No,No,,No
100000150347,1000115334,1000083485,2022-08-17,1310,"Flammable Mixture {30}",00025,32411,No,No,Yes,No,No,No,No,Yes,No,No,No,No,,,,,104.0,,No,No,0,0,0,1,0,0,50000.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,Yes,No,No,No,Yes,No,No,No,No,,"Notified Only",No,Yes,Yes,Yes,No,Yes,No,No,No,No,,No
100000150347,1000115334,1000083629,2020-04-08,1000,"Flammable Mixture {25309}",00022,32411,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,,,,,,,No,Yes,0,0,0,0,0,0,468000.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,Yes,No,No,No,No,No,No,,"Notified and Responded",Yes,No,No,Yes,No,No,No,Yes,No,No,,No
100000150347,1000115334,1000083628,2020-02-28,1440,"Flammable Mixture {5407}",00020,32411,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,,,,,,,No,Yes,0,0,0,1,0,0,50000.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,"Communication issues between Operations and Maintenance","Notified and Responded",Yes,Yes,Yes,Yes,No,No,No,No,No,No,,No
100000175623,1000115299,1000083743,2022-07-15,2025,"Ammonia (anhydrous) {960}",00032,31199,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,5.0,a,SSW,80.0,E,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,25.0,0.0,Yes,No,Yes,No,,a,Yes,Yes,No,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,Yes,Yes,Yes,No,No,No,No,No,No,,No
100000056342,1000115268,1000083760,2019-11-19,1936,"Ethylene oxide  [Oxirane] {99}",00144,56191,Yes,No,No,No,No,No,No,No,No,No,No,No,"Ceilcote Wet Acid Scrubber",0.1,a,S,70.0,F,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,Yes,No,No,No,No,No,Yes,No,No,No,,"Notified and Responded",Yes,No,Yes,Yes,No,No,No,No,No,No,,No
100000108625,1000115254,1000083764,2024-05-23,1400,"Ammonia (anhydrous) {5150}",00025,11199,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,10.0,a,W,80.0,F,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",Yes,No,No,No,Yes,No,No,No,No,No,,No
100000109633,1000115243,1000083683,2022-03-02,1545,"Ammonia (anhydrous) {90}",00010,11199,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,20.0,a,NE,60.0,D,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,No,No,No,No,No,No,No,No,No,,No
100000072128,1000115206,1000083700,2023-10-23,1130,"Ammonia (anhydrous) {900}",00249,42451,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,12.0,a,SSW,67.0,F,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,Yes,No,No,No,No,,"Notified and Responded",Yes,No,No,No,No,No,No,No,No,No,,No
100000193186,1000115205,1000083699,2021-09-11,1855,"Ammonia (anhydrous) {18400}",00250,311611,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,,10.0,a,WNW,84.0,C,No,No,0,0,0,0,0,0,33000.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,Yes,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,,No
100000050044,1000115180,1000083719,2021-04-01,1000,"Ammonia (anhydrous) {851}",00020,311615,No,Yes,No,No,No,No,No,No,No,No,No,No,"Compressor C19 oil line",,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,d,Yes,No,No,No,No,No,No,No,No,No,No,"Oil line was not threaded properly from manufacturer","Notified and Responded",No,No,No,No,No,No,No,No,No,No,"Manufacturer corrected problem",No
100000100482,1000115177,1000083633,2023-11-08,1345,"Ammonia (anhydrous) {3593}",00215,311612,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,"Oil Separator Relief Valve",6.2,a,N,77.0,B,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,No,No,No,No,No,No,Yes,No,No,,"Notified and Responded",Yes,No,No,Yes,Yes,No,No,No,No,No,,No
100000153585,1000115129,1000083482,2019-04-07,0600,"Ammonia (anhydrous) {5}",00200,49312,Yes,No,No,No,No,No,No,No,No,Yes,No,No,"Valve on evaporator unit (Zone 14)",4.0,a,SW,59.0,A,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,d,Yes,No,No,No,No,No,No,No,No,No,No,"Unknown contributing factor(s) - bolts on flange for evaporator valve loosened","No, not notified",No,No,No,No,No,No,No,No,No,Yes,,No
100000153585,1000115129,1000083483,2016-08-16,1730,"Ammonia (anhydrous) {1}",00100,49312,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,10.0,a,NNE,80.0,D,Yes,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"Notified and Responded",No,Yes,No,No,No,No,No,No,No,No,"Increased frequency of PM for solenoid valve that failed and released ammonia vapor to semi-annually",No
100000160443,1000115124,1000083479,2016-04-16,1015,"Ammonia (anhydrous) {1}",00001,42491,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,"Emergency Room Evaluation,  Released back to work the same day",b,No,Yes,Yes,No,No,No,No,No,No,Yes,No,"Cool Humid weather","Notified Only",No,No,No,No,No,Yes,No,No,No,No,"Purchased 5 minute rescue mask for employee on loading deck",No
100000110998,1000115121,1000083681,2011-09-13,1030,"Chlorine {1}",00001,22132,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",Yes,No,No,No,No,No,No,No,No,No,,No
100000012871,1000115104,1000083680,2022-02-08,0000,"Ammonia (anhydrous) {197}",00015,311999,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,10.0,a,SE,35.0,,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,Yes,No,No,No,No,No,No,No,,"No, not notified",No,Yes,Yes,No,Yes,No,No,No,No,No,,No
100000012871,1000115104,1000083677,2017-06-14,0930,"Ammonia (anhydrous) {79}",00006,325199,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,4.0,a,N,81.0,A,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,No,Yes,No,No,No,No,No,No,No,,"No, not notified",Yes,No,No,Yes,No,No,No,No,No,No,,No
100000012871,1000115104,1000083678,2014-01-22,1307,"Ammonia (anhydrous) {359}",00042,311999,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,25.0,a,WNW,7.0,D,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,62.0,0.0,No,No,No,No,,b,No,No,No,No,No,No,Yes,No,No,No,No,,"No, not notified",No,No,No,Yes,No,No,No,No,No,No,,No
100000012871,1000115104,1000083679,2012-07-04,1250,"Ammonia (anhydrous) {830}",00025,311999,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,8.1,a,SSW,93.0,B,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",Yes,No,No,No,No,No,No,No,No,No,"Any new ammonia vessels to be rated greater than 200 psig",No
100000092847,1000115093,1000083738,2022-08-08,1420,"Ammonia (conc 20% or greater) {2906}",00145,311612,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,23.0,a,W,90.0,E,No,No,0,0,0,0,0,0,10000.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes,,b,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,"Notified and Responded",No,No,Yes,Yes,No,No,No,No,No,No,,No
100000159428,1000115023,1000083717,2024-03-30,0730,"Ammonia (anhydrous) {250}",00130,49312,Yes,No,No,No,No,No,No,No,No,No,No,No,"Bullseye eyeglass on Condenser",0.5,b,SW,76.0,F,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,none,a,Yes,No,No,No,No,No,No,No,No,No,No,"Site glass bullseye seal","Notified Only",No,Yes,No,No,No,No,No,No,No,No,"Added to replacement schedule",No
100000099519,1000114990,1000083560,2021-01-06,1000,"Ammonia (anhydrous) {1}",00002,42491,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,13.0,a,ESE,32.0,D,No,No,0,0,0,1,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,No,No,No,No,No,No,No,No,No,,"No, not notified",No,No,No,No,No,No,No,No,No,Yes,,No
100000124162,1000114982,1000083557,2023-06-14,1030,"Ammonia (anhydrous) {1}",00001,42491,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,No,Yes,Yes,No,No,No,No,No,No,No,No,,"No, not notified",No,No,Yes,No,No,No,No,No,No,No,,No
100000166385,1000114967,1000083697,2020-08-19,1120,"Ammonia (anhydrous) {50}",00008,42491,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,No,No,No,No,No,No,Yes,No,No,No,No,,"Notified and Responded",No,Yes,No,No,No,No,No,No,No,No,,No
100000119187,1000114943,1000083558,2024-05-21,0910,"Acrylonitrile  [2-Propenenitrile] {1}",00003,325211,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,1.0,a,N,62.0,D,No,No,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,d,No,No,No,No,No,No,No,No,No,No,No,"Investigation is in progress","Medical services offsite",No,Yes,Yes,Yes,No,No,No,No,No,No,,No
100000050605,1000114904,1000083500,2020-01-07,0200,"Formaldehyde (solution) {234}",00005,325211,No,Yes,No,No,No,No,No,No,No,No,Yes,No,,,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"No, not notified",No,No,No,No,No,No,No,No,No,Yes,,No
100000050605,1000114904,1000083499,2013-06-30,0800,"Formaldehyde (solution) {10}",00005,325211,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,Yes,No,No,No,No,No,No,No,No,,"No, not notified",No,Yes,No,Yes,No,No,No,No,No,No,,No
100000050605,1000114904,1000083498,2009-08-29,1610,"Formaldehyde (solution) {1500}",00005,325211,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,,,,No,Yes,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,No,Yes,No,No,No,No,No,No,No,No,No,"Communication issue","Notified Only",Yes,No,No,Yes,Yes,No,Yes,No,No,No,,No
100000236167,1000114903,1000083497,2022-12-25,0720,"Ethane {81660}",00939,21113,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,,15.0,a,SW,9.0,A,No,No,0,0,0,0,0,0,,0,0.0,0.0,0.0,1.0,0.0,No,No,No,No,,a,No,No,No,No,No,No,No,No,No,Yes,No,,"Notified and Responded",Yes,Yes,No,No,No,No,No,No,No,No,,Yes
100000100856,1000114883,1000083537,2022-07-23,2145,"Ammonia (anhydrous) {212}",00230,311615,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,5.0,a,SE,82.0,F,No,No,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,"Notified Only",Yes,Yes,Yes,No,No,No,No,No,No,No,,No
100000078523,1000114848,1000083561,2023-09-05,1935,"1,3-Butadiene {1}",00001,325211,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,Yes,No,No,No,Yes,No,No,No,No,,"Notified and Responded",No,No,Yes,Yes,No,No,No,No,No,No,,No
100000099797,1000114793,1000083386,2017-05-15,2030,"Ammonia (anhydrous) {5}",00025,42491,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,13.0,a,SSW,80.0,E,No,No,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,c,No,No,No,No,No,No,No,No,No,Yes,No,,"Notified and Responded",No,No,Yes,No,No,No,Yes,No,No,No,,No
100000099797,1000114793,1000083387,2016-11-02,1330,"Ammonia (anhydrous) {5}",00001,42491,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,,6.0,a,E,62.0,E,No,No,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,No,No,No,No,No,No,No,No,No,,"No, not notified",No,No,Yes,Yes,No,No,Yes,No,No,No,,No
100000121174,1000114791,1000083385,2020-01-21,1240,"Ammonia (anhydrous) {97}",00002,32518,Yes,No,No,No,No,No,No,No,No,No,No,No,"Flow Meter",5.0,a,S,37.0,D,Yes,No,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"Notified and Responded",No,No,Yes,Yes,No,No,No,No,No,No,"Alternate egress route installed, MOC inspection of all ammonia line sub-assets, and MOC flow meter replacement and test",No
100000099341,1000114789,1000083384,2019-04-26,1700,"Ammonia (anhydrous) {104}",00002,11511,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,Yes,Yes,No,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,No,No,No,No,No,No,No,No,No,,No
100000073476,1000114786,1000083379,2023-05-04,0620,"Flammable Mixture {783} • Hydrogen sulfide {6}",00035,32411,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,6.5,a,SSW,53.0,D,No,No,0,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,No,Yes,Yes,No,No,No,No,No,No,"Revised management system/work process",No
100000073476,1000114786,1000083378,2020-02-25,2200,"Flammable Mixture {41000}",03348,32411,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,,4.9,a,E,70.0,,No,No,0,0,0,1,0,0,7500000.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,No,No,No,No,,"Notified Only",Yes,No,No,No,No,No,No,No,No,No,,No
100000073528,1000114768,1000083399,2015-11-08,0800,"Ammonia (anhydrous) {10}",00001,42491,No,Yes,No,No,No,No,No,No,No,Yes,No,No,,,,,,,No,Yes,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,b,No,Yes,No,No,No,No,No,No,No,No,No,,"Notified and Responded",Yes,No,No,Yes,No,No,No,No,No,No,,No
100000122048,1000114724,1000083437,2018-08-30,1625,"Ammonia (anhydrous) {2}",00006,311615,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,9.0,a,S,96.0,,No,No,0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,,a,Yes,No,No,No,No,No,No,Yes,No,No,No,,"No, not notified",Yes,No,No,No,Yes,No,No,No,No,No,,No
